gate lenght,Theta,Phi,dt,combination,total time,computing time
17,2.819283464,3.386523249,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 3]",85,111.4496117
19,3.125626931,2.196217696,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2, 4]",95,315.7940965
14,2.230701851,1.30091483,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 0]",70,76.19174504
6,1.029476849,3.569143606,5,"[3, 2, 4, 1, 3, 2]",30,1.939418554
14,1.905686733,4.546216893,5,"[2, 4, 1, 3, 2, 4, 4, 1, 3, 2, 1, 1, 2, 4]",70,489.5566046
11,1.786985134,2.714583514,5,"[1, 3, 2, 4, 4, 1, 3, 2, 4, 1, 3]",55,104.8150997
15,2.479506748,5.394615382,5,"[2, 4, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 2]",75,137.3197694
19,3.118565422,5.119900233,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2, 1, 1, 3]",95,296.7268918
0,0.169943488,3.36471332,5,[],0,0.001992226
8,1.129633865,0.886049403,5,"[2, 4, 4, 1, 3, 2, 4, 3]",40,38.40287209
8,1.339522004,4.095982434,5,"[1, 3, 3, 2, 4, 1, 3, 2]",40,18.61561894
8,1.263359104,3.689133368,5,"[4, 1, 3, 2, 4, 1, 3, 0]",40,9.429077864
16,2.655903044,4.911454241,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3, 2]",80,66.96275687
19,3.041207434,0.300256316,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 3, 4, 4]",95,290.4871335
18,2.946573503,3.749545773,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 4, 1, 2, 2]",90,226.4786332
15,2.592348062,3.012872119,5,"[1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1, 3, 3]",75,34.88082242
11,2.039247178,0.371049569,5,"[2, 4, 1, 3, 2, 4, 1, 3, 2, 4, 1]",55,4.990099669
12,1.872453544,1.44215772,5,"[2, 4, 1, 3, 2, 4, 4, 1, 3, 2, 1, 1]",60,176.1602054
7,1.086476814,6.23963246,5,"[2, 4, 1, 3, 3, 2, 4]",35,21.12965631
